Line,No,REGIST,MIC001,MIC004,CHART,MIC005,MIC006,MIC007,MIC008,MI0002,MI0001,MCE0040,MI0979,MI1070,MI0959,MI0248,備考
,78,,9433,KDDI,,東Ｐ,情報・通信業,通信サービス,総合通信会社,"103,981.19","4,744.0",5.00,3.16,総合通信大手。携帯・光回線を展開。金融など非通信伸ばしライフデザイン企業への脱皮模索中,13.13,0.90,
,79,,9543,静岡ガス,,東Ｐ,電気・ガス業,ガス,都市ガス,777.16,"1,020.0",15.00,4.11,静岡市地盤で工業用に強み。販売量国内４位。清水ＬＮＧ基地活用し周辺地域へ卸供給を拡大,6.33,0.46,
,80,,9600,アイネット,,東Ｐ,情報・通信業,SI・ソフトウエア開発,システム運用,249.48,"1,536.0",3.00,3.64,ＤＣ（データセンター）規模は独立系上位。ＤＣ軸に情報処理・システム開発。宇宙関連事業強化,11.59,-9.24,
,81,,9658,ビジネス太田昭和,,東Ｐ,情報・通信業,SI・ソフトウエア開発,システム開発,265.95,"2,090.0",3.00,3.73,コンサル、システム構築・開発が柱。会計システムに強み。持分にグローバルセキュリティ社,8.07,0.00,
,82,,9746,TKC,,東Ｐ,情報・通信業,SI・ソフトウエア開発,システム運用,"1,929.94","3,630.0",0.00,3.03,会計事務所、地方公共団体向け情報サービスに特化。税理士の組織『ＴＫＣ全国会』が営業基盤,11.74,3.82,
,83,,9757,船井総研HLD,,東Ｐ,サービス業,他産業サービス・製品,経営コンサル,"1,159.00","2,318.0",10.00,3.62,経営コンサル大手。中小企業向け成長支援型コンサルに特色。住宅・不動産、医療業界等に強み,22.55,2.53,
,84,,9795,ステップ,,東Ｐ,サービス業,他個人サービス・製品,学習塾・教育事業,347.90,"2,087.0",4.00,4.07,神奈川県中西部軸に学習塾『ステップ』運営。県立トップ高受験に強み。横浜、川崎地区を攻略中,9.71,0.70,
,85,,9956,バローHLD,,東Ｐ、名Ｐ,小売業,コンビニ・食品小売り,食品スーパー・小売り,"1,140.75","2,113.0",3.00,3.31,中部地区地盤。食品スーパー軸に多角展開。傘下にホームセンター（ＨＣ）やドラッグストア,7.49,0.00,
,86,,9960,東テク,,東Ｐ,卸売業,設備機器・部品,空調,"1,061.26","2,529.0",19.67,3.47,空調・同関連機器商社の草分け。専業で首位。計装など工事部門拡大。保守工事子会社が強み,16.84,0.00,
,87,,9989,サンドラッグ,,東Ｐ,小売業,ドラッグストア,ドラッグストア,"4,898.54","4,105.0",16.00,3.41,東京西部地盤のドラッグ大手。西日本中心にディスカウントストアも展開。２４年キリン堂に出資,12.05,0.00,
