stock_code,company_name,market_cap,bs_securities_assets,pl_dividend_income,asset_ratio,dividend_ratio
7383,株式会社ネットプロテクションズホールディングス,70011172035.0,0.0,0.0,0.0,0.0
2281,プリマハム株式会社,116812410488.0,9275000000.0,91000000.0,0.08,0.01
2134,北浜キャピタルパートナーズ株式会社,18216246573.0,59938000.0,2501000.0,0.0,0.04
7135,ジャパンクラフトホールディングス株式会社,6832376320.0,170297000.0,4420000.0,0.02,0.03
6229,株式会社オーケーエム,5559295000.0,142224000.0,2116000.0,0.03,0.01
3598,山喜株式会社,2571412728.0,104025000.0,3638000.0,0.04,0.03
2193,クックパッド株式会社,24279044400.0,11365000.0,0.0,0.0,0.0
5273,三谷セキサン株式会社,167892792000.0,31563000000.0,1015000000.0,0.19,0.03
6327,北川精機株式会社,5466891200.0,122862000.0,1587000.0,0.02,0.01
6573,アジャイルメディア・ネットワーク株式会社,3972025080.0,20191000.0,0.0,0.01,0.0
5618,ナイル株式会社,3858633600.0,0.0,0.0,0.0,0.0
3010,ポラリス・ホールディングス株式会社,50023501520.0,2415000.0,0.0,0.0,0.0
8040,株式会社東京ソワール,3412240000.0,1563397000.0,45137000.0,0.46,0.03
9310,日本トランスシティ株式会社,73453804198.0,25366000000.0,484000000.0,0.35,0.02
2664,株式会社カワチ薬品,70161080680.0,154000000.0,3000000.0,0.0,0.02
7812,株式会社クレステック,5321698200.0,109505000.0,342730000.0,0.02,3.13
6754,アンリツ株式会社,249117645000.0,337000000.0,2136000000.0,0.0,6.34
3916,デジタル・インフォメーション・テクノロジー株式会社,38444513600.0,156473000.0,5408000.0,0.0,0.03
7532,株式会社パン・パシフィック・インターナショナルホールディングス,3222137146000.0,35688000000.0,1063000000.0,0.01,0.03
3048,株式会社ビックカメラ,304985158784.0,25468000000.0,321000000.0,0.08,0.01
6228,株式会社ジェイ・イー・ティ,10008210000.0,0.0,434000000.0,0.0,0.0
7075,株式会社ＱＬＳホールディングス,5234866000.0,0.0,0.0,0.0,0.0
7776,株式会社セルシード,16535881863.0,20536000.0,0.0,0.0,0.0
6268,ナブテスコ株式会社,320577472000.0,5194000000.0,8575000000.0,0.02,1.65
7506,株式会社　ハウス　オブ　ローゼ,6419680995.0,141111000.0,6059000.0,0.02,0.04
4290,株式会社プレステージ・インターナショナル,79521953400.0,9592066000.0,6814000.0,0.12,0.0
1758,太洋基礎工業株式会社,4563532800.0,1566492000.0,44422000.0,0.34,0.03
1810,松井建設株式会社,36818320000.0,14657000000.0,408000000.0,0.4,0.03
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ株式会社,154457896980.0,0.0,0.0,0.0,0.0
5016,ＪＸ金属株式会社,772481300864.0,8090000000.0,35151000000.0,0.01,4.34
4387,株式会社ＺＵＵ,3429398920.0,3974970000.0,0.0,1.16,0.0
6465,ホシザキ株式会社,760672500000.0,11272000000.0,956000000.0,0.01,0.08
8077,トルク株式会社,7029757000.0,8225069000.0,239918000.0,1.17,0.03
2220,亀田製菓株式会社,91057440000.0,18096000000.0,71000000.0,0.2,0.0
1515,日鉄鉱業株式会社,122946135680.0,39161000000.0,1433000000.0,0.32,0.04
3914,ＪＩＧ－ＳＡＷ株式会社,18328965000.0,211773000.0,7088000.0,0.01,0.03
3407,旭化成株式会社,1382823900000.0,168371000000.0,3396000000.0,0.12,0.02
3950,ザ・パック株式会社,22208400000.0,8058000000.0,160000000.0,0.36,0.02
2114,フジ日本株式会社,28161976500.0,11338784000.0,213164000.0,0.4,0.02
3719,ＡＩストーム株式会社,5951295000.0,23701000.0,0.0,0.0,0.0
3664,株式会社モブキャストホールディングス,3193996520.0,17159000.0,0.0,0.01,0.0
4889,株式会社レナサイエンス,35287679200.0,0.0,0.0,0.0,0.0
6995,株式会社東海理化電機製作所,219847922000.0,32579000000.0,623000000.0,0.15,0.02
7354,株式会社ダイレクトマーケティングミックス,12022847408.0,410417000.0,0.0,0.03,0.0
9424,日本通信株式会社,25220408328.0,166341000.0,0.0,0.01,0.0
4564,オンコセラピー・サイエンス株式会社,7877667300.0,0.0,0.0,0.0,0.0
3961,シルバーエッグ・テクノロジー株式会社,1884404286.0,0.0,0.0,0.0,0.0
9743,株式会社丹青社,62806020087.0,2457047000.0,56657000.0,0.04,0.02
2334,株式会社イオレ,9496636320.0,49764000.0,0.0,0.01,0.0
1926,ライト工業株式会社,131946830100.0,8313000000.0,299000000.0,0.06,0.04
3925,株式会社ダブルスタンダード,21279860000.0,0.0,500000000.0,0.0,0.0
6890,株式会社フェローテック,175278770280.0,11654000000.0,64000000.0,0.07,0.01
2469,ヒビノ株式会社,23836444560.0,223000000.0,14000000.0,0.01,0.06
5997,協立エアテック株式会社,3798000000.0,781016000.0,20696000.0,0.21,0.03
3918,ＰＣＩホールディングス株式会社,11104272800.0,206103000.0,3278000.0,0.02,0.02
4072,株式会社電算システムホールディングス,27874110100.0,2355000000.0,124000000.0,0.08,0.05
2533,オエノンホールディングス株式会社,39614062384.0,3654000000.0,52000000.0,0.09,0.01
2449,株式会社プラップジャパン,4847454360.0,82596000.0,2288000.0,0.02,0.03
9059,カンダホールディングス株式会社,18856172000.0,1581000000.0,50000000.0,0.08,0.03
3370,株式会社フジタコーポレーション,1208308200.0,61897000.0,1113000.0,0.05,0.02
5134,株式会社ＰＯＰＥＲ,4641235508.0,0.0,0.0,0.0,0.0
4884,クリングルファーマ株式会社,4617654600.0,0.0,0.0,0.0,0.0
6099,株式会社エラン,50782800000.0,2558748000.0,300001000.0,0.05,0.12
7896,セブン工業株式会社,2415941000.0,11000000.0,8000000.0,0.0,0.73
6376,日機装株式会社,89304925000.0,16700000000.0,3035000000.0,0.19,0.18
6786,株式会社ＲＶＨ,2608141280.0,57359000.0,14248000.0,0.02,0.25
9503,関西電力株式会社,1897605754000.0,682469000000.0,24706000000.0,0.36,0.04
7255,株式会社　桜井製作所,2332000000.0,422592000.0,10166000.0,0.18,0.02
4712,株式会社ＫｅｙＨｏｌｄｅｒ,13751372250.0,11326000.0,1757000.0,0.0,0.16
7963,興研株式会社,8743157139.0,186454000.0,4571000.0,0.02,0.02
9625,株式会社セレスポ,6319478000.0,23842000.0,0.0,0.0,0.0
3093,株式会社トレジャー・ファクトリー,44191257000.0,0.0,0.0,0.0,0.0
8091,ニチモウ株式会社,20044580000.0,14434000000.0,216000000.0,0.72,0.01
8060,キヤノンマーケティングジャパン株式会社,576838294596.0,17771000000.0,402000000.0,0.03,0.02
4519,中外製薬株式会社,11619079055640.0,13392000000.0,4416000000.0,0.0,0.33
8160,株式会社　木曽路,67506297485.0,2994000000.0,66000000.0,0.04,0.02
4584,キッズウェル・バイオ株式会社,12418326679.0,283137000.0,0.0,0.02,0.0
4548,生化学工業株式会社,35508750000.0,19038000000.0,463000000.0,0.54,0.02
3358,ワイエスフード株式会社,3165645000.0,47430000.0,0.0,0.01,0.0
4752,株式会社　昭和システムエンジニアリング,7089940000.0,447466000.0,10150000.0,0.06,0.02
6232,株式会社ＡＣＳＬ,19887659100.0,197577000.0,0.0,0.01,0.0
4013,勤次郎株式会社,18422560000.0,50987000.0,0.0,0.0,0.0
4362,日本精化株式会社,65637364000.0,10871513000.0,314383000.0,0.17,0.03
2122,株式会社インタースペース,6486463200.0,482902000.0,10253000.0,0.07,0.02
9036,東部ネットワーク株式会社,5041873000.0,2235934000.0,69469000.0,0.44,0.03
6445,株式会社ジャノメ,20191094575.0,1808000000.0,78000000.0,0.09,0.04
4568,第一三共株式会社,6847059336000.0,49122000000.0,27327000000.0,0.01,0.56
6090,ヒューマン・メタボローム・テクノロジーズ株式会社,4537367211.0,7000000.0,0.0,0.0,0.0
6189,株式会社グローバルキッズＣＯＭＰＡＮＹ,6569925888.0,27000000.0,2000000.0,0.0,0.07
